country_id,co2_pc,gdp_pc,urban,life_exp,country_name,region,income_level
TKM,12.8629910388274,5298.46421949276,47.0678875054171,70.073,Turkmenistan,Europe & Central Asia,Upper middle income
TLS,0.47995862126757,1502.4114958903,28.595471832952,67.689,Timor-Leste,East Asia & Pacific,Lower middle income
TON,1.54688949013834,5651.59357939286,21.147944541337,72.895,Tonga,East Asia & Pacific,Upper middle income
TTO,19.7069856893185,18308.4536298575,53.9536842104572,73.49,Trinidad and Tobago,Latin America & Caribbean ,High income
TUN,2.55804077741188,3951.11683376921,70.0266686486584,76.508,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
TUR,5.23215412799609,13375.0947282864,89.0218446796121,77.156,Turkiye,Europe & Central Asia,Upper middle income
TUV,0.0,5143.8397437226,64.0117206689787,67.105,Tuvalu,East Asia & Pacific,Upper middle income
TZA,0.323839316591473,1224.00219726563,35.4748019434954,66.995,Tanzania,Sub-Saharan Africa ,Lower middle income
UGA,0.166813953979235,1002.30913917142,30.6059359395495,68.252,Uganda,Sub-Saharan Africa ,Low income
UKR,3.22518031774765,5139.59814453125,69.4754455027606,73.422,Ukraine,Europe & Central Asia,Upper middle income
URY,2.41753370123087,23378.6399733516,95.5439605712891,78.138,Uruguay,Latin America & Caribbean ,High income
USA,13.7140258849034,82586.7847707894,80.071561119178,78.3853658536585,United States,North America,High income
UZB,3.72011269845735,3015.97705069457,50.9964841114568,72.388,Uzbekistan,Europe & Central Asia,Lower middle income
VCT,1.25835200300031,10582.3656725229,47.7169922340041,71.23,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income
VEN,3.40591488864612,3617.47038396528,89.249627620225,72.514,"Venezuela, RB",Latin America & Caribbean ,Lower middle income
VNM,3.89354026267807,4322.82572261566,38.1298904418945,74.588,Viet Nam,East Asia & Pacific,Upper middle income
VUT,0.847978677253136,3708.18942411253,22.2651966823901,71.477,Vanuatu,East Asia & Pacific,Lower middle income
WSM,1.53833372564766,4822.74084650019,17.5012799804602,71.698,Samoa,East Asia & Pacific,Upper middle income
ZAF,6.75922774879049,6034.27208964673,63.5823705163545,66.139,South Africa,Sub-Saharan Africa ,Upper middle income
ZMB,0.548090097623693,1330.72780576709,45.0285853521585,66.349,Zambia,Sub-Saharan Africa ,Lower middle income
ZWE,0.76899436270709,2195.22502010174,39.2919370795795,62.775,Zimbabwe,Sub-Saharan Africa ,Lower middle income
